"","plot","site","burn","burn.name","letter","plot.name","burn.year","ecoregion","moisture","date","elev","slope","aspect","org","org.tree","ave.arh","ice.2015","resistance.2015","resistance.2016","ice.2016","ERT","seed.trap","Bryoria","Evernia","Usnea","ba.Alcr","ba.Bene","ba.Betsp","ba.Lala","ba.Piba","ba.Picea","ba.Pigl","ba.Pima","ba.Poba","ba.Potr","ba.Salix","ba.Decid","ba.Unknown","Lala.dens","Piba.dens","Picea.dens","Pigl.dens","Pima.dens","Poba.dens","Potr.dens","Unknown.dens","Alcr.dens","Bene.dens","Betsp.dens","Salix.dens","Decid.dens","pima.prop","piba.prop","other.prop","Dom","age.y","DOB_LB","FFMC_LB","DMC_LB","DC_LB","ISI_LB","BUI_LB","FWI_LB","VPD_LB","LCC05_start","LCC05_end","LCC05_consensus","Lat_start","Long_start","Elev_start","Lat_end","Long_end","Elev_end","strata","tree.bio.m2","tree.bio.carbon.m2","tree.bio.cons.m2B","tree.carbon.cons.m2B","BA.ALL","DENSITY.ALL","burn.depth","burn.depth.arh","burn.depthJP","tree.carbon.prefire.m2","tree.bio.prefire.m2","residual.soil.carbon.gCm2","prefire.soil.carbon.gCm2","soil.carbon.cons.gCm2","total.combustion.gCm2","total.prefire.gCm2","prop.total.gcm2.combusted","prop.soil.total.gCm2","sand"
"1","LL-1","LL-1","ZF104","Discovery Mine","A","ZF104-001A",2014,"shield","subhygric","18-Jun-15",NA,NA,NA,12.25,12.85,2.729166667,"not measured",NA,NA,NA,"yes","no","not recorded","not recorded","not recorded",0,0,0,0,0,0,0,2.297289628,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,1,0,0,"Pima",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,15,63.133498,-114.003373,270.948,63.132542,-114.006674,266.457,"unknown",0.372286843,0.186143421,77.765521,38.88276,2.297289628,0.666666667,6.08587804,6.08587804,NA,186.143421,372.286843,NA,NA,NA,NA,NA,NA,NA,NA
"2","LL-2","LL-2","ZF104","Discovery Mine","B","ZF104-001B",2014,"shield","xeric","19-Jun-15",NA,14,310,1.4,0.95,3.05,"not measured",NA,NA,NA,"no","no","not recorded","not recorded","not recorded",0,2.878876968,0,0,0.487077761,0,0,5.564938687,0,0,0,0,1.991507943,0,0.016666667,0,0,0.916666667,0,0,0.1,0,0.1,0,0,0,0.808823529,0.014705883,0.176470588,"Pima",36,NA,NA,NA,NA,NA,NA,NA,NA,15,15,15,63.135925,-114.002826,256.783,63.136215,-114.00255,267.992,"unknown",1.41919913,0.709599565,567.104987,283.552493,10.92240136,1.133333333,6.409942075,6.409942075,NA,709.599565,1419.19913,NA,NA,NA,NA,NA,NA,NA,NA
"3","SS33-11B","SS33-11","SS33","Kakisa","B","SS033-011B",2014,"plains","mesic-subxeric","9-Jul-15",228.546,0,NA,7.65,6.45,6.733333333,"NO ICE",58.1,NA,NA,"no","yes","no","no","no",0,0,0,0,0,0,0,26.66308955,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,1,0,0,"Pima",163,183,93.973,156.158,360.454,12.629,156.015,43.176,3231.11,7,7,7,60.951288,-117.355,228.546,60.951522,-117.35482,233.823,"conifer-low",7.75995274,3.87997637,2424.09685,1212.048425,26.66308955,1.75,10.54533351,10.54533351,NA,3879.97637,7759.95274,2809.374454,7690.439085,4881.064631,6093.113056,11570.41546,0.526611432,0.801078954,80.975
"4","SS33-1A","SS33-1","SS33","Kakisa","A","SS033-001A",2014,"plains","xeric","8-Jul-15",227.805,12,180,1.55,NA,NA,"NO ICE",76,NA,NA,"no","no","no","yes","no",0,0,0,0,18.40829305,0,0.254599905,0,0,0,0,0,0,0,0.066666667,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0.66666667,0.33333333,"Piba",171,189,86.0432,71.9241,356.116,3.19079,95.5853,13.5067,2452.82,7,7,7,60.937382,-117.124736,227.805,60.937617,-117.124528,228.463,"conifer-med",7.258837328,3.629418664,410.21327,205.106635,18.66289296,0.1,4.79,NA,4.79,3629.418664,7258.837328,706.5045204,1167.427261,460.9227402,666.0293752,4796.845925,0.138847356,0.692045662,93.5028875
"5","SS33-1B","SS33-1","SS33","Kakisa","B","SS033-001B",2014,"plains","mesic","8-Jul-15",217.061,0,NA,8.2,9.5,10.83333333,"NO ICE",66.4,NA,NA,"no","yes","no","no","no",0,0,0,0,0,0,0,16.5514809,0,0,0,0,0,0,0,0,0,0.633333333,0,0,0,0,0,0,0,0,1,0,0,"Pima",171,189,86.0432,71.9241,356.116,3.19079,95.5853,13.5067,2452.82,9,9,9,60.937885,-117.12263,217.061,60.938133,-117.122425,217.409,"conifer-med",4.084884924,2.042442462,1119.553063,559.776531,16.5514809,0.633333333,14.93582372,14.93582372,NA,2042.442462,4084.884924,8783.805351,15902.00517,7118.199818,7677.976349,17944.44763,0.427874767,0.92709322,87.287185005
"6","SS33-1C","SS33-1","SS33","Kakisa","C","SS033-001C",2014,"plains","subhygric","8-Jul-15",222.905,0,NA,42.5,40.4,8.516666667,"ICE",75.7,93.4,"ice","no","no","no","no","no",0,0,0,0,0,0,0,14.18887232,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,1,0,0,"Pima",171,189,86.0432,71.9241,356.116,3.19079,95.5853,13.5067,2452.82,9,9,9,60.935171,-117.124533,222.905,60.935437,-117.124336,223.349,"conifer-med",3.054644708,1.527322354,1059.974302,529.987151,14.18887232,0.9,13.6040572,13.6040572,NA,1527.322354,3054.644708,35610.78156,42828.49525,7217.713692,7747.700843,44355.81761,0.174671582,0.931594268,NA
"7","SS33-21B","SS33-21","SS33","Kakisa","B","SS033-021B",2014,"plains","mesic","7-Jul-15",219.986,0,NA,35.2,38.5,2.555555556,"ICE",78.1,NA,NA,"no","no","no","no","yes",0,1.472097958,0,0,0,0.433408887,0,0.804640418,0,0,0.867341372,0,5.992718886,0,0,0.066666667,0,0.066666667,0,0,0.333333333,0,0.05,0,0.066666667,0,0.114285715,0,0.885714285,"Pima",66,183,93.973,156.158,360.454,12.629,156.015,43.176,3231.11,7,7,7,60.87551,-117.413792,219.986,60.87574,-117.413529,223.505,"reburn",0.206542317,0.103271159,92.284468,46.142234,9.570207521,0.583333333,6.558540639,6.558540639,NA,103.271159,206.542317,13958.84436,16237.47732,2278.632963,2324.775197,16340.74848,0.142268587,0.980151959,56.16131441
"8","SS33-27B","SS33-27","SS33","Kakisa","B","SS033-027B",2014,"plains","mesic","7-Jul-15",207.507,0,NA,17.8,18.2,8.566666667,"ICE",91.7,NA,NA,"no","no","no","yes","no",0,0,0,0,0,0,0,29.48816674,0,0,0,0,0.289157424,0,0,0,0,1.216666667,0,0,0.016666667,0,0,0,0,0,0.986486486,0,0.013513514,"Pima",74,183,93.973,156.158,360.454,12.629,156.015,43.176,3231.11,9,9,9,60.844911,-117.461767,207.507,60.845147,-117.461605,208.919,"reburn",8.60692501,4.303462505,2788.574151,1394.287075,29.77732417,1.233333333,12.83736472,12.83736472,NA,4303.462505,8606.92501,12953.91482,18856.4718,5902.556986,7296.844061,23159.93431,0.315063245,0.808919162,98.47880299
"9","SS33-27C","SS33-27","SS33","Kakisa","C","SS033-027C",2014,"plains","mesic-subhygric","7-Jul-15",219.173,0,NA,34.35,35.1,6.066666667,"ICE",87.5,NA,NA,"no","no","no","yes","no",0,0,0,0,0,0,0,15.27573248,0,0,0,0,0.261799388,0,0,0,0,5.75,0,0,0.033333333,0,0,0,0,0,0.994236311,0,0.005763689,"Pima",74,183,93.973,156.158,360.454,12.629,156.015,43.176,3231.11,7,7,7,60.844663,-117.463766,219.173,60.844898,-117.463531,215.443,"reburn",2.087994608,1.043997304,1170.179894,585.089947,15.53753187,5.783333333,10.7208118,10.7208118,NA,1043.997304,2087.994608,31364.53422,36643.34967,5278.815448,5863.905395,37687.34698,0.155593478,0.900221796,95.98603839
"10","SS33-3A","SS33-3","SS33","Kakisa","A","SS033-003A",2014,"plains","mesic","30-Jun-15",227.547,0,NA,13.55,14.5,5.6,"NO ICE",80.4,NA,NA,"no","no","not recorded","not recorded","not recorded",0,0,0,0,0,0,0,22.20752577,0,0,0,0,2.286817652,0,0,0,0,3.133333333,0,0,0.133333333,0,0,0,0,0,0.959183674,0,0.040816326,"Pima",90,183,93.973,156.158,360.454,12.629,156.015,43.176,3231.11,7,7,7,60.937674,-117.37271,227.547,60.937855,-117.372597,227.371,"conifer-med",5.876867893,2.938433946,2817.61,1408.805,24.49434342,3.266666667,9.532622779,9.532622779,NA,2938.433946,5876.867893,6970.042885,10791.76342,3821.720539,5230.525539,13730.19737,0.380950499,0.730657084,46.06937859
